year,species,species_latin,how_many_counted,total_hours,how_many_counted_by_hour
2010,"Thicket Tinamou",Crypturellus cinnamomeus,9,69.5,0.12949640287769784
2011,"Thicket Tinamou",Crypturellus cinnamomeus,16,98.05,0.1631820499745028
2012,"Thicket Tinamou",Crypturellus cinnamomeus,15,98.25,0.15267175572519084
2013,"Thicket Tinamou",Crypturellus cinnamomeus,11,126.3,0.08709422011084719
2014,"Thicket Tinamou",Crypturellus cinnamomeus,10,62.25,0.1606425702811245
2015,"Thicket Tinamou",Crypturellus cinnamomeus,6,91,0.06593406593406594
2016,"Thicket Tinamou",Crypturellus cinnamomeus,3,90.8,0.03303964757709251
2017,"Thicket Tinamou",Crypturellus cinnamomeus,9,90,0.1
2018,"Thicket Tinamou",Crypturellus cinnamomeus,10,90.5,0.11049723756906077
2019,"Thicket Tinamou",Crypturellus cinnamomeus,4,63,0.06349206349206349
2010,"Black-bellied Whistling-Duck",Dendrocygna autumnalis,2,69.5,0.02877697841726619
2011,"Black-bellied Whistling-Duck",Dendrocygna autumnalis,2,98.05,0.02039775624681285
2012,"Black-bellied Whistling-Duck",Dendrocygna autumnalis,0,98.25,0
2013,"Black-bellied Whistling-Duck",Dendrocygna autumnalis,4,126.3,0.03167062549485353
2014,"Black-bellied Whistling-Duck",Dendrocygna autumnalis,2,62.25,0.0321285140562249
2015,"Black-bellied Whistling-Duck",Dendrocygna autumnalis,2,91,0.02197802197802198
2016,"Black-bellied Whistling-Duck",Dendrocygna autumnalis,26,90.8,0.28634361233480177
2017,"Black-bellied Whistling-Duck",Dendrocygna autumnalis,9,90,0.1
2018,"Black-bellied Whistling-Duck",Dendrocygna autumnalis,6,90.5,0.06629834254143646
2019,"Black-bellied Whistling-Duck",Dendrocygna autumnalis,5,63,0.07936507936507936
2010,"Muscovy Duck",Cairina moschata,0,69.5,0
2011,"Muscovy Duck",Cairina moschata,0,98.05,0
2012,"Muscovy Duck",Cairina moschata,3,98.25,0.030534351145038167
2013,"Muscovy Duck",Cairina moschata,0,126.3,0
2014,"Muscovy Duck",Cairina moschata,4,62.25,0.0642570281124498
2015,"Muscovy Duck",Cairina moschata,1,91,0.01098901098901099
2016,"Muscovy Duck",Cairina moschata,0,90.8,0
