species,count_year,how_many_cw,number_by_party_hours,flags
"Thicket Tinamou
[Crypturellus cinnamomeus]","2010 [111]
Count Date: 12/28/2010
# Participants: 21
# Species Reported: 148
Total Hrs.: 69.50",9,0.1295,
"Thicket Tinamou
[Crypturellus cinnamomeus]","2011 [112]
Count Date: 12/28/2011
# Participants: 27
# Species Reported: 153
Total Hrs.: 98.05",16,0.1632,
"Thicket Tinamou
[Crypturellus cinnamomeus]","2012 [113]
Count Date: 12/28/2012
# Participants: 34
# Species Reported: 185
Total Hrs.: 98.25",15,0.1527,
"Thicket Tinamou
[Crypturellus cinnamomeus]","2013 [114]
Count Date: 12/28/2013
# Participants: 45
# Species Reported: 186
Total Hrs.: 126.30",11,0.0871,
"Thicket Tinamou
[Crypturellus cinnamomeus]","2014 [115]
Count Date: 12/28/2014
# Participants: 44
# Species Reported: 175
Total Hrs.: 62.25",10,0.1606,
"Thicket Tinamou
[Crypturellus cinnamomeus]","2015 [116]
Count Date: 12/28/2015
# Participants: 36
# Species Reported: 181
Total Hrs.: 91.00",6,0.0659,
"Thicket Tinamou
[Crypturellus cinnamomeus]","2016 [117]
Count Date: 12/28/2016
# Participants: 32
# Species Reported: 152
Total Hrs.: 90.80",3,0.033,
"Thicket Tinamou
[Crypturellus cinnamomeus]","2017 [118]
Count Date: 12/28/2017
# Participants: 42
# Species Reported: 177
Total Hrs.: 90.00",9,0.1,
"Thicket Tinamou
[Crypturellus cinnamomeus]","2018 [119]
Count Date: 12/28/2018
# Participants: 49
# Species Reported: 192
Total Hrs.: 90.50",10,0.1105,
"Thicket Tinamou
[Crypturellus cinnamomeus]","2019 [120]
Count Date: 12/28/2019
# Participants: 16
# Species Reported: 186
Total Hrs.: 63.00",4,0.0635,
"Black-bellied Whistling-Duck
[Dendrocygna autumnalis]","2010 [111]
Count Date: 12/28/2010
# Participants: 21
# Species Reported: 148
Total Hrs.: 69.50",2,0.0288,
"Black-bellied Whistling-Duck
[Dendrocygna autumnalis]","2011 [112]
Count Date: 12/28/2011
# Participants: 27
# Species Reported: 153
Total Hrs.: 98.05",2,0.0204,
"Black-bellied Whistling-Duck
[Dendrocygna autumnalis]","2012 [113]
Count Date: 12/28/2012
# Participants: 34
# Species Reported: 185
Total Hrs.: 98.25",,,
"Black-bellied Whistling-Duck
[Dendrocygna autumnalis]","2013 [114]
Count Date: 12/28/2013
# Participants: 45
# Species Reported: 186
Total Hrs.: 126.30",4,0.0317,
