CircleName,Abbrev,LatLong
"Santa Rosa - Area de Conservacion Guanacaste, Costa Rica",CRSR,10.8713320000/-85.6905160000

CountYear3,LowTemp,HighTemp,AMCloud,PMClouds,AMRain,PMRain,AMSnow,PMSnow
119,20.0 Celsius,29.0 Celsius,Clear,Clear,None,None,None,None
118,20.0 Celsius,27.0 Celsius,Partly Clear,Partly Clear,Light,Light,,
117,20.0 Celsius,26.0 Celsius,Partly Cloudy,Partly Cloudy,Light,Light,,
116,25.0 Celsius,30.0 Celsius,Clear,Clear,None,None,None,None
115,73.0 Fahrenheit,88.0 Fahrenheit,Clear,Clear,None,None,None,None
114,22.0 Celsius,31.0 Celsius,Partly Cloudy,Partly Cloudy,None,None,None,None
113,25.0 Celsius,30.0 Celsius,Cloudy,Cloudy,Light,None,None,None
112,25.0 Celsius,28.0 Celsius,Partly Cloudy,Partly Cloudy,None,None,None,None
111,75.0 Celsius,88.0 Celsius,Clear,Clear,None,None,None,None

CountYear5,LowTemp3,HighTemp2,AMCloud2,PMClouds2
119,12/28/2018,49,90.50,192
118,12/28/2017,42,90.00,177
117,12/28/2016,31,90.80,152
116,12/28/2015,35,91.00,181
115,12/28/2014,44,62.25,175
114,12/28/2013,46,126.30,186
113,12/28/2012,33,98.25,185
112,12/28/2011,27,98.05,153
111,12/28/2010,21,69.50,148

CountYear4,LowTemp2
119,Area de Conservacion Guanacaste (orignally co-founded by Save Our Songbirds)
118,"Area de Conservacion Guanacaste, Save Our Songbirds"
117,"Area de Conservacion Guanacaste, Save Our Songbirds"
116,"Area de Conservacion Guanacaste, Save Our Songbirds"
115,"Area de Conservacion Guanacaste, Save Our Songbirds"
114,"Area de Conservacion Guanacaste, Save Our Songbirds"
113,"Area de Conservacion Guanacaste, Save Our Songbirds"
112,"Area de Conservacion Guanacaste, Save Our Songbirds"
111,"Area de Conservacion Guanacaste, Save Our Songbirds"

COM_NAME,CountYear,how_manyCW,NumberByPartyHours,Flags
"Thicket Tinamou
[Crypturellus cinnamomeus]","2010 [111]
Count Date: 12/28/2010
# Participants: 21
# Species Reported: 148
Total Hrs.: 69.50",9,0.1295,
"Thicket Tinamou
[Crypturellus cinnamomeus]","2011 [112]
Count Date: 12/28/2011
# Participants: 27
# Species Reported: 153
Total Hrs.: 98.05",16,0.1632,
"Thicket Tinamou
[Crypturellus cinnamomeus]","2012 [113]
Count Date: 12/28/2012
# Participants: 34
# Species Reported: 185
Total Hrs.: 98.25",15,0.1527,
"Thicket Tinamou
[Crypturellus cinnamomeus]","2013 [114]
Count Date: 12/28/2013
# Participants: 45
# Species Reported: 186
Total Hrs.: 126.30",11,0.0871,
"Thicket Tinamou
[Crypturellus cinnamomeus]","2014 [115]
Count Date: 12/28/2014
# Participants: 44
# Species Reported: 175
Total Hrs.: 62.25",10,0.1606,
"Thicket Tinamou
[Crypturellus cinnamomeus]","2015 [116]
Count Date: 12/28/2015
# Participants: 36
# Species Reported: 181
Total Hrs.: 91.00",6,0.0659,
"Thicket Tinamou
[Crypturellus cinnamomeus]","2016 [117]
Count Date: 12/28/2016
# Participants: 32
# Species Reported: 152
Total Hrs.: 90.80",3,0.0330,
"Thicket Tinamou
[Crypturellus cinnamomeus]","2017 [118]
Count Date: 12/28/2017
# Participants: 42
# Species Reported: 177
Total Hrs.: 90.00",9,0.1000,
"Thicket Tinamou
[Crypturellus cinnamomeus]","2018 [119]
Count Date: 12/28/2018
# Participants: 49
# Species Reported: 192
Total Hrs.: 90.50",10,0.1105,
"Black-bellied Whistling-Duck
[Dendrocygna autumnalis]","2010 [111]
Count Date: 12/28/2010
# Participants: 21
# Species Reported: 148
Total Hrs.: 69.50",2,0.0288,
"Black-bellied Whistling-Duck
[Dendrocygna autumnalis]","2011 [112]
Count Date: 12/28/2011
# Participants: 27
# Species Reported: 153
Total Hrs.: 98.05",2,0.0204,
"Black-bellied Whistling-Duck
[Dendrocygna autumnalis]","2012 [113]
Count Date: 12/28/2012
# Participants: 34
# Species Reported: 185
Total Hrs.: 98.25",,,
"Black-bellied Whistling-Duck
[Dendrocygna autumnalis]","2013 [114]
Count Date: 12/28/2013
# Participants: 45
# Species Reported: 186
Total Hrs.: 126.30",4,0.0317,
"Black-bellied Whistling-Duck
[Dendrocygna autumnalis]","2014 [115]
Count Date: 12/28/2014
# Participants: 44
# Species Reported: 175
Total Hrs.: 62.25",2,0.0321,
"Black-bellied Whistling-Duck
[Dendrocygna autumnalis]","2015 [116]
Count Date: 12/28/2015
# Participants: 36
# Species Reported: 181
Total Hrs.: 91.00",2,0.0220,
"Black-bellied Whistling-Duck
[Dendrocygna autumnalis]","2016 [117]
Count Date: 12/28/2016
# Participants: 32
# Species Reported: 152
Total Hrs.: 90.80",26,0.2863,
"Black-bellied Whistling-Duck
[Dendrocygna autumnalis]","2017 [118]
Count Date: 12/28/2017
# Participants: 42
# Species Reported: 177
Total Hrs.: 90.00",9,0.1000,
