year,species,species_latin,how_many_counted,total_hours,how_many_counted_by_hour
2010,"Thicket Tinamou",Crypturellus cinnamomeus,9,69.5,0.129496403
2011,"Thicket Tinamou",Crypturellus cinnamomeus,16,98.05,0.16318205
2012,"Thicket Tinamou",Crypturellus cinnamomeus,15,98.25,0.152671756
2013,"Thicket Tinamou",Crypturellus cinnamomeus,11,126.3,0.08709422
2014,"Thicket Tinamou",Crypturellus cinnamomeus,10,62.25,0.16064257
2015,"Thicket Tinamou",Crypturellus cinnamomeus,6,91,0.065934066
2016,"Thicket Tinamou",Crypturellus cinnamomeus,3,90.8,0.033039648
2017,"Thicket Tinamou",Crypturellus cinnamomeus,9,90,0.1
2018,"Thicket Tinamou",Crypturellus cinnamomeus,10,90.5,0.110497238
2010,"Black-bellied Whistling-Duck",Dendrocygna autumnalis,2,69.5,0.028776978
2011,"Black-bellied Whistling-Duck",Dendrocygna autumnalis,2,98.05,0.020397756
2012,"Black-bellied Whistling-Duck",Dendrocygna autumnalis,0,98.25,0
2013,"Black-bellied Whistling-Duck",Dendrocygna autumnalis,4,126.3,0.031670625
2014,"Black-bellied Whistling-Duck",Dendrocygna autumnalis,2,62.25,0.032128514
2015,"Black-bellied Whistling-Duck",Dendrocygna autumnalis,2,91,0.021978022
2016,"Black-bellied Whistling-Duck",Dendrocygna autumnalis,26,90.8,0.286343612
2017,"Black-bellied Whistling-Duck",Dendrocygna autumnalis,9,90,0.1
2018,"Black-bellied Whistling-Duck",Dendrocygna autumnalis,6,90.5,0.066298343
2010,"Muscovy Duck",Cairina moschata,0,69.5,0
2011,"Muscovy Duck",Cairina moschata,0,98.05,0
2012,"Muscovy Duck",Cairina moschata,3,98.25,0.030534351
2013,"Muscovy Duck",Cairina moschata,0,126.3,0
2014,"Muscovy Duck",Cairina moschata,4,62.25,0.064257028
2015,"Muscovy Duck",Cairina moschata,1,91,0.010989011
2016,"Muscovy Duck",Cairina moschata,0,90.8,0
2017,"Muscovy Duck",Cairina moschata,2,90,0.022222222
2018,"Muscovy Duck",Cairina moschata,0,90.5,0
2010,"Blue-winged Teal",Anas discors,0,69.5,0
2011,"Blue-winged Teal",Anas discors,0,98.05,0
2012,"Blue-winged Teal",Anas discors,0,98.25,0
2013,"Blue-winged Teal",Anas discors,13,126.3,0.102929533
2014,"Blue-winged Teal",Anas discors,2,62.25,0.032128514
2015,"Blue-winged Teal",Anas discors,5,91,0.054945055
2016,"Blue-winged Teal",Anas discors,0,90.8,0
2017,"Blue-winged Teal",Anas discors,0,90,0
2018,"Blue-winged Teal",Anas discors,5,90.5,0.055248619
2010,"Northern Shoveler",Anas clypeata,0,69.5,0
2011,"Northern Shoveler",Anas clypeata,0,98.05,0
2012,"Northern Shoveler",Anas clypeata,1,98.25,0.010178117
2013,"Northern Shoveler",Anas clypeata,0,126.3,0
2014,"Northern Shoveler",Anas clypeata,0,62.25,0
2015,"Northern Shoveler",Anas clypeata,0,91,0
2016,"Northern Shoveler",Anas clypeata,0,90.8,0
2017,"Northern Shoveler",Anas clypeata,0,90,0
2018,"Northern Shoveler",Anas clypeata,0,90.5,0
2010,"Plain Chachalaca",Ortalis vetula,1,69.5,0.014388489
2011,"Plain Chachalaca",Ortalis vetula,4,98.05,0.040795512
2012,"Plain Chachalaca",Ortalis vetula,0,98.25,0
2013,"Plain Chachalaca",Ortalis vetula,0,126.3,0
2014,"Plain Chachalaca",Ortalis vetula,0,62.25,0
2015,"Plain Chachalaca",Ortalis vetula,0,91,0
2016,"Plain Chachalaca",Ortalis vetula,0,90.8,0
2017,"Plain Chachalaca",Ortalis vetula,0,90,0
2018,"Plain Chachalaca",Ortalis vetula,0,90.5,0
2010,"Crested Guan",Penelope purpurascens,24,69.5,0.345323741
2011,"Crested Guan",Penelope purpurascens,33,98.05,0.336562978
2012,"Crested Guan",Penelope purpurascens,43,98.25,0.437659033
2013,"Crested Guan",Penelope purpurascens,35,126.3,0.277117973
2014,"Crested Guan",Penelope purpurascens,31,62.25,0.497991968
2015,"Crested Guan",Penelope purpurascens,29,91,0.318681319
2016,"Crested Guan",Penelope purpurascens,17,90.8,0.18722467
2017,"Crested Guan",Penelope purpurascens,27,90,0.3
2018,"Crested Guan",Penelope purpurascens,27,90.5,0.298342541
2010,"Great Curassow",Crax rubra,3,69.5,0.043165468
2011,"Great Curassow",Crax rubra,13,98.05,0.132585416
2012,"Great Curassow",Crax rubra,20,98.25,0.203562341
2013,"Great Curassow",Crax rubra,34,126.3,0.269200317
2014,"Great Curassow",Crax rubra,18,62.25,0.289156627
2015,"Great Curassow",Crax rubra,22,91,0.241758242
2016,"Great Curassow",Crax rubra,10,90.8,0.110132159
2017,"Great Curassow",Crax rubra,15,90,0.166666667
2018,"Great Curassow",Crax rubra,24,90.5,0.26519337
2010,"Crested Bobwhite",Colinus cristatus,0,69.5,0
2011,"Crested Bobwhite",Colinus cristatus,1,98.05,0.010198878
2012,"Crested Bobwhite",Colinus cristatus,1,98.25,0.010178117
2013,"Crested Bobwhite",Colinus cristatus,0,126.3,0
2014,"Crested Bobwhite",Colinus cristatus,0,62.25,0
2015,"Crested Bobwhite",Colinus cristatus,4,91,0.043956044
2016,"Crested Bobwhite",Colinus cristatus,0,90.8,0
2017,"Crested Bobwhite",Colinus cristatus,3,90,0.033333333
2018,"Crested Bobwhite",Colinus cristatus,0,90.5,0
2010,"Least Grebe",Tachybaptus dominicus,0,69.5,0
2011,"Least Grebe",Tachybaptus dominicus,0,98.05,0
2012,"Least Grebe",Tachybaptus dominicus,0,98.25,0
2013,"Least Grebe",Tachybaptus dominicus,2,126.3,0.015835313
2014,"Least Grebe",Tachybaptus dominicus,1,62.25,0.016064257
2015,"Least Grebe",Tachybaptus dominicus,0,91,0
2016,"Least Grebe",Tachybaptus dominicus,0,90.8,0
2017,"Least Grebe",Tachybaptus dominicus,3,90,0.033333333
2018,"Least Grebe",Tachybaptus dominicus,4,90.5,0.044198895
2010,"Wood Stork",Mycteria americana,132,69.5,1.899280576
2011,"Wood Stork",Mycteria americana,16,98.05,0.16318205
2012,"Wood Stork",Mycteria americana,21,98.25,0.213740458
2013,"Wood Stork",Mycteria americana,3,126.3,0.023752969
2014,"Wood Stork",Mycteria americana,17,62.25,0.273092369
2015,"Wood Stork",Mycteria americana,27,91,0.296703297
